자치구별(1),자치구별(2),성별(1),성별(2),2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
합계,서대문구,합계,남자,8126,7838,7458,6875,6460,5855,5284,5006,4866,4707,4717,4692,4669,4644,4620,4630,4535,4458,4268,4020,3754
합계,서대문구,합계,여자,13659,11735,9606,7648,6914,6552,6027,5687,5516,5417,5379,5384,5369,5316,5289,5315,5287,5136,4970,4675,4330
합계,마포구,합계,소계,18089,17133,16231,14769,13877,13224,12321,11823,11516,11444,11334,11161,11176,10786,10771,10681,10505,10353,9965,9406,8694
합계,마포구,합계,남자,8357,7942,7563,6938,6611,6349,5878,5701,5479,5452,5442,5347,5338,5129,5114,5021,4968,4875,4705,4450,4089
합계,마포구,합계,여자,9732,9191,8668,7831,7266,6875,6443,6122,6037,5992,5892,5814,5838,5657,5657,5660,5537,5478,5260,4956,4605
합계,양천구,합계,소계,23820,23453,22799,21815,20303,19036,17889,17011,16726,16717,16454,16371,16320,15927,15981,15772,15333,14910,14145,13142,12030
합계,양천구,합계,남자,12596,12308,11813,11267,10484,9778,9202,8786,8595,8613,8482,8442,8472,8237,8258,8136,7914,7619,7253,6741,6158
합계,양천구,합계,여자,11224,11145,10986,10548,9819,9258,8687,8225,8131,8104,7972,7929,7848,7690,7723,7636,7419,7291,6892,6401,5872
합계,강서구,합계,소계,24345,23997,23532,22970,21771,20401,18857,17981,17509,17531,17356,17247,17400,17217,17326,17382,17030,16622,15805,14804,13735
합계,강서구,합계,남자,12525,12095,11667,11427,10836,10227,9510,9070,8854,8827,8777,8745,8790,8730,8756,8743,8561,8314,7927,7404,6900
합계,강서구,합계,여자,11820,11902,11865,11543,10935,10174,9347,8911,8655,8704,8579,8502,8610,8487,8570,8639,8469,8308,7878,7400,6835
합계,구로구,합계,소계,17081,16736,16541,15836,14943,13708,12642,12014,11696,11684,11592,11422,11473,11096,10971,10783,10316,10043,9486,8848,8210
합계,구로구,합계,남자,8840,8687,8622,8265,7733,7007,6461,6160,5992,5974,5841,5757,5811,5610,5535,5457,5177,5078,4820,4450,4174
합계,구로구,합계,여자,8241,8049,7919,7571,7210,6701,6181,5854,5704,5710,5751,5665,5662,5486,5436,5326,5139,4965,4666,4398,4036
합계,금천구,합계,소계,10210,9814,9602,9046,8262,7460,6742,6337,6084,5920,5857,5745,5741,5737,5686,5665,5547,5342,5119,4802,4421
합계,금천구,합계,남자,5303,4995,4807,4522,4122,3739,3416,3187,3037,2964,2935,2896,2899,2890,2855,2851,2767,2677,2577,2395,2231
합계,금천구,합계,여자,4907,4819,4795,4524,4140,3721,3326,3150,3047,2956,2922,2849,2842,2847,2831,2814,2780,2665,2542,2407,2190
합계,영등포구,합계,소계,14191,13770,13562,12777,11836,11092,10204,9674,9431,9253,9058,8941,8893,8678,8673,8598,8415,8228,7773,7330,6762
합계,영등포구,합계,남자,7123,6951,6730,6471,6077,5706,5285,5028,4860,4791,4685,4599,4587,4422,4465,4425,4329,4245,3989,3763,3454
