사용월,시간대,지하철역,평균배차간격,호선명,Lati,Long,승차인원수,승차혼잡도,열차운행횟수,지하철역순서,하차인원수,하차혼잡도,혼잡도
2021-01-01 오전 12:00:00,14:00:00~14:59:59,당고개,5분 30초,4호선,37.67027,127.07907,14625,1329.545454545,11,26,11411,1037.363636364,1329.545454545
2021-01-01 오전 12:00:00,15:00:00~15:59:59,당고개,5분 42초,4호선,37.67027,127.07907,13642,1364.2,10,26,14581,1458.1,1364.2
2021-01-01 오전 12:00:00,16:00:00~16:59:59,당고개,5분 5초,4호선,37.67027,127.07907,13403,1116.916666667,12,26,17064,1422,1116.916666667
2021-01-01 오전 12:00:00,17:00:00~17:59:59,당고개,5분 38초,4호선,37.67027,127.07907,13252,1204.727272727,11,26,21028,1911.636363636,1204.727272727
2021-01-01 오전 12:00:00,18:00:00~18:59:59,당고개,4분 19초,4호선,37.67027,127.07907,12066,861.857142857,14,26,33006,2357.571428571,861.857142857
2021-01-01 오전 12:00:00,19:00:00~19:59:59,당고개,3분 31초,4호선,37.67027,127.07907,7655,478.4375,16,26,30473,1904.5625,478.4375
2021-01-01 오전 12:00:00,20:00:00~20:59:59,당고개,3분 33초,4호선,37.67027,127.07907,5568,327.529411765,17,26,20651,1214.764705882,327.529411765
2021-01-01 오전 12:00:00,21:00:00~21:59:59,당고개,4분 10초,4호선,37.67027,127.07907,4627,308.466666667,15,26,22975,1531.666666667,308.466666667
2021-01-01 오전 12:00:00,22:00:00~22:59:59,당고개,5분 54초,4호선,37.67027,127.07907,2453,245.3,10,26,11365,1136.5,245.3
2021-01-01 오전 12:00:00,23:00:00~23:59:59,당고개,9분 10초,4호선,37.67027,127.07907,564,94,6,26,5097,849.5,94
2021-01-01 오전 12:00:00,05:00:00~05:59:59,동대문,16분 0초,4호선,37.57094,127.0093,5086,2543,2,14,2386,1193,2543
2021-01-01 오전 12:00:00,06:00:00~06:59:59,동대문,7분 41초,4호선,37.57094,127.0093,2709,338.625,8,14,11221,1402.625,338.625
2021-01-01 오전 12:00:00,07:00:00~07:59:59,동대문,4분 10초,4호선,37.57094,127.0093,4008,286.285714286,14,14,29531,2109.357142857,286.285714286
2021-01-01 오전 12:00:00,08:00:00~08:59:59,동대문,2분 52초,4호선,37.57094,127.0093,5366,255.523809524,21,14,62971,2998.619047619,255.523809524
2021-01-01 오전 12:00:00,09:00:00~09:59:59,동대문,3분 30초,4호선,37.57094,127.0093,8711,512.411764706,17,14,57299,3370.529411765,512.411764706
2021-01-01 오전 12:00:00,10:00:00~10:59:59,동대문,4분 23초,4호선,37.57094,127.0093,12890,920.714285714,14,14,43261,3090.071428571,920.714285714
2021-01-01 오전 12:00:00,11:00:00~11:59:59,동대문,5분 30초,4호선,37.57094,127.0093,16711,1519.181818182,11,14,37812,3437.454545455,1519.181818182
2021-01-01 오전 12:00:00,12:00:00~12:59:59,동대문,5분 45초,4호선,37.57094,127.0093,20496,2049.6,10,14,29834,2983.4,2049.6
2021-01-01 오전 12:00:00,13:00:00~13:59:59,동대문,5분 32초,4호선,37.57094,127.0093,23235,2112.272727273,11,14,30898,2808.909090909,2112.272727273
2021-01-01 오전 12:00:00,14:00:00~14:59:59,동대문,5분 39초,4호선,37.57094,127.0093,30141,3014.1,10,14,29042,2904.2,3014.1
2021-01-01 오전 12:00:00,15:00:00~15:59:59,동대문,5분 32초,4호선,37.57094,127.0093,36764,3342.181818182,11,14,23430,2130,3342.181818182
2021-01-01 오전 12:00:00,16:00:00~16:59:59,동대문,5분 12초,4호선,37.57094,127.0093,46627,3885.583333333,12,14,17230,1435.833333333,3885.583333333
2021-01-01 오전 12:00:00,17:00:00~17:59:59,동대문,5분 16초,4호선,37.57094,127.0093,73719,6701.727272727,11,14,11360,1032.727272727,6701.727272727
2021-01-01 오전 12:00:00,18:00:00~18:59:59,동대문,3분 42초,4호선,37.57094,127.0093,58798,3458.705882353,17,14,8008,471.058823529,3458.705882353
2021-01-01 오전 12:00:00,19:00:00~19:59:59,동대문,3분 35초,4호선,37.57094,127.0093,24607,1537.9375,16,14,10243,640.1875,1537.9375
